Coal_RB_4800_FOB_London_Close_USD,Coal_RB_5500_FOB_London_Close_USD,Coal_RB_5700_FOB_London_Close_USD,Coal_RB_6000_FOB_CurrentWeek_Avg_USD,Coal_India_5500_CFR_London_Close_USD
219.92,270.96,312.47,326.31,257.5
219.92,270.96,312.47,326.31,257.5
219.92,270.96,312.47,326.31,257.5
190.92,237.52,276.97,280.04,231.68
87.95318352059924,113.35315543071162,134.97180711610488,144.35149446494464,123.7597097378277
190.92,237.52,276.97,280.04,231.68
190.92,237.52,276.97,280.04,231.68
190.92,237.52,276.97,280.04,231.68
203.31,253.63,290.76,301.97,259.81
203.31,253.63,290.76,301.97,259.81
203.31,253.63,290.76,301.97,259.81
203.31,253.63,290.76,301.97,259.81
203.31,253.63,290.76,301.97,259.81
208.26,260.79,295.6,324.6,262.18
208.26,260.79,295.6,324.6,262.18
208.26,260.79,295.6,324.6,262.18
208.26,260.79,295.6,324.6,262.18
208.26,260.79,295.6,324.6,262.18
222.35,274.11,314.74,347.18,252.02
222.35,274.11,314.74,347.18,252.02
222.35,274.11,314.74,347.18,252.02
222.35,274.11,314.74,347.18,252.02
222.35,274.11,314.74,347.18,252.02
192.68,246.64,290.52,317.46,251.72
192.68,246.64,290.52,317.46,251.72
192.68,246.64,290.52,317.46,251.72
194.96,255.32,303.74,333.07,249.34
87.95318352059924,113.35315543071162,134.97180711610488,333.07,123.7597097378277
87.95318352059924,113.35315543071162,134.97180711610488,333.07,123.7597097378277
194.96,255.32,303.74,333.07,249.34
194.96,255.32,303.74,333.07,249.34
194.96,255.32,303.74,333.07,249.34
194.96,255.32,303.74,333.07,249.34
171.75,231.88,282.79,312.42,235.58
171.75,231.88,282.79,312.42,235.58
171.75,231.88,282.79,312.42,235.58
171.75,231.88,282.79,312.42,235.58
171.75,231.88,282.79,312.42,235.58
152.38,208.65,270.89,312.3,215.13
152.38,208.65,270.89,312.3,215.13
152.38,208.65,270.89,312.3,215.13
152.38,208.65,270.89,312.3,215.13
152.38,208.65,270.89,312.3,215.13
180.69,269.37,323.82,354.25,216.24
180.69,269.37,323.82,354.25,216.24
180.69,269.37,323.82,354.25,216.24
180.69,269.37,323.82,354.25,216.24
180.69,269.37,323.82,354.25,216.24
155.08,235.17,301.85,332.33,215.96
155.08,235.17,301.85,332.33,215.96
155.08,235.17,301.85,332.33,215.96
155.08,235.17,301.85,332.33,215.96
155.08,235.17,301.85,332.33,215.96
167.09,251.57,322.37,348.09,215.06
167.09,251.57,322.37,348.09,215.06
167.09,251.57,322.37,348.09,215.06
167.09,251.57,322.37,348.09,215.06
167.09,251.57,322.37,348.09,215.06
163.97,249.99,317.43,342.5,214.23
163.97,249.99,317.43,342.5,214.23
163.97,249.99,317.43,342.5,214.23
163.97,249.99,317.43,342.5,214.23
163.97,249.99,317.43,342.5,214.23
144.63,213.02,285.76,302.73,225.35
144.63,213.02,285.76,302.73,225.35
144.63,213.02,285.76,302.73,225.35
144.63,213.02,285.76,302.73,225.35
144.63,213.02,285.76,302.73,225.35
166.43,239.95,316.32,321.62,224.48
166.43,239.95,316.32,321.62,224.48
166.43,239.95,316.32,321.62,224.48
166.43,239.95,316.32,321.62,224.48
166.43,239.95,316.32,321.62,224.48
142.01,210.93,278.17,319.38,219.98
142.01,210.93,278.17,319.38,219.98
142.01,210.93,278.17,319.38,219.98
142.01,210.93,278.17,319.38,219.98
142.01,210.93,278.17,319.38,219.98
135.46,211.07,279.91,303.62,222.25
135.46,211.07,279.91,303.62,222.25
135.46,211.07,279.91,303.62,222.25
135.46,211.07,279.91,303.62,222.25
135.46,211.07,279.91,303.62,222.25
161.43,244.45,314.1,346.77,210.12
161.43,244.45,314.1,346.77,210.12
161.43,244.45,314.1,346.77,210.12
161.43,244.45,314.1,346.77,210.12
161.43,244.45,314.1,346.77,210.12
156.81,250.45,317.77,361.63,214.47
87.95318352059924,113.35315543071162,134.97180711610488,144.35149446494464,123.7597097378277
156.81,250.45,317.77,361.63,214.47
156.81,250.45,317.77,361.63,214.47
156.81,250.45,317.77,361.63,214.47
149.02,245.77,313.05,335.58,223.82
149.02,245.77,313.05,335.58,223.82
149.02,245.77,313.05,335.58,223.82
149.02,245.77,313.05,335.58,223.82
149.02,245.77,313.05,335.58,223.82
146.73,239.97,305.48,324.56,213.11
146.73,239.97,305.48,324.56,213.11
146.73,239.97,305.48,324.56,213.11
146.73,239.97,305.48,324.56,213.11
146.73,239.97,305.48,324.56,213.11
131.83,205.34,268.75,281.1,211.47
87.95318352059924,113.35315543071162,134.97180711610488,144.35149446494464,123.7597097378277
131.83,205.34,268.75,281.1,211.47
131.83,205.34,268.75,281.1,211.47
131.83,205.34,268.75,281.1,211.47
123.13,199.2,259.31,269.06,207.46
123.13,199.2,259.31,269.06,207.46
123.13,199.2,259.31,269.06,207.46
123.13,199.2,259.31,269.06,207.46
123.13,199.2,259.31,269.06,207.46
137.4,209.12,269.39,267.5,183.88
137.4,209.12,269.39,267.5,183.88
137.4,209.12,269.39,267.5,183.88
137.4,209.12,269.39,267.5,183.88
137.4,209.12,269.39,267.5,183.88
